row	vocabId	type	word	reading	meaningVi	exampleJp	exampleVi
4321	sumu2	exam	済む	すむ	xong	用事が済んだ。	Việc cần làm đã xong.
4322	sumu2	daily	済む	すむ	xong	もう済んだ?	Xong chưa vậy?
4323	sumu2	business	済む	すむ	xong	手続きは既に済んでおります。	Thủ tục đã được hoàn tất.
4324	sodateru	exam	育てる	そだてる	nuôi dưỡng	子供を育てた。	Tôi đã nuôi dưỡng con.
4325	sodateru	daily	育てる	そだてる	nuôi dưỡng	植物、育ててるの?	Cậu đang trồng cây à?
4326	sodateru	business	育てる	そだてる	nuôi dưỡng	若手社員を育てております。	Chúng tôi đang đào tạo nhân viên trẻ.
4327	sonaeru	exam	備える	そなえる	chuẩn bị	地震に備えた。	Tôi đã chuẩn bị phòng khi động đất.
4328	sonaeru	daily	備える	そなえる	chuẩn bị	ちゃんと備えておこうね。	Chuẩn bị sẵn cho chu đáo nhé.
4329	sonaeru	business	備える	そなえる	chuẩn bị	災害に備えて備蓄しております。	Chúng tôi tích trữ để phòng thiên tai.
4330	someru	exam	染める	そめる	nhuộm	髪を染めた。	Tôi đã nhuộm tóc.
4331	someru	daily	染める	そめる	nhuộm	何色に染める?	Nhuộm màu gì đây?
4332	someru	business	染める	そめる	nhuộm	天然素材で染めております。	Chúng tôi nhuộm bằng nguyên liệu tự nhiên.
4333	soru	exam	そる	そる	cạo	ひげをそった。	Tôi đã cạo râu.
4334	soru	daily	そる	そる	cạo	そってないの?	Chưa cạo à?
4335	soru	business	そる	そる	cạo	清潔感を保つためひげをそっております。	Để giữ vẻ ngoài sạch sẽ, chúng tôi cạo râu.
4336	soroeru	exam	そろえる	そろえる	sắp xếp (cho đều)	靴をそろえた。	Tôi đã sắp xếp ngay ngắn giày.
4337	soroeru	daily	そろえる	そろえる	sắp xếp (cho đều)	サイズ、そろえておいてね。	Sắp xếp theo kích cỡ giúp tớ nhé.
4338	soroeru	business	そろえる	そろえる	sắp xếp (cho đều)	商品のラインナップをそろえております。	Chúng tôi sắp xếp đầy đủ dòng sản phẩm.
4339	taosu	exam	倒す	たおす	làm đổ	木を倒した。	Tôi đã làm đổ cây.
4340	taosu	daily	倒す	たおす	làm đổ	それ、倒さないでね。	Đừng làm đổ cái đó nhé.
